"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2946","should complete registration with all required fields","chromium","Tue Jul 15 17:14:13 UTC 2025","passed","Tue Jul 15 17:14:16 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","2051","should fail registration with empty fields","webkit","Tue Jul 15 17:11:12 UTC 2025","passed","Tue Jul 15 17:11:14 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","8580","should login with valid credentials","webkit","Tue Jul 15 17:10:45 UTC 2025","passed","Tue Jul 15 17:10:54 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","4349","should register new user successfully","chromium","Tue Jul 15 17:14:02 UTC 2025","passed","Tue Jul 15 17:14:07 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","3125","should fail registration with existing email","webkit","Tue Jul 15 17:11:09 UTC 2025","passed","Tue Jul 15 17:11:12 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1988","should clear signup form fields","webkit","Tue Jul 15 17:11:20 UTC 2025","passed","Tue Jul 15 17:11:22 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1861","should fail registration with invalid email format","firefox","Tue Jul 15 17:09:19 UTC 2025","passed","Tue Jul 15 17:09:21 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","3628","should clear sensitive data on logout","chromium","Tue Jul 15 17:14:34 UTC 2025","passed","Tue Jul 15 17:14:38 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","2370","should handle network errors gracefully","firefox","Tue Jul 15 17:09:46 UTC 2025","passed","Tue Jul 15 17:09:48 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","3145","should fail login with invalid credentials","webkit","Tue Jul 15 17:10:54 UTC 2025","passed","Tue Jul 15 17:10:57 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2287","should display both login and signup forms","webkit","Tue Jul 15 17:10:43 UTC 2025","passed","Tue Jul 15 17:10:45 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1758","should display both login and signup forms","chromium","Tue Jul 15 17:13:48 UTC 2025","passed","Tue Jul 15 17:13:50 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1562","should fail login with empty credentials","firefox","Tue Jul 15 17:09:06 UTC 2025","passed","Tue Jul 15 17:09:07 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2825","should navigate back to home page","firefox","Tue Jul 15 17:09:38 UTC 2025","passed","Tue Jul 15 17:09:40 UTC 2025","Login and Registration Tests > Navigation","login.spec.js","",""
"","2026","should fail registration with existing email","firefox","Tue Jul 15 17:09:15 UTC 2025","passed","Tue Jul 15 17:09:17 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","2908","should load login page within acceptable time","chromium","Tue Jul 15 17:14:42 UTC 2025","passed","Tue Jul 15 17:14:45 UTC 2025","Login and Registration Tests > Performance","login.spec.js","",""
"","1666","should fail login with invalid email format","firefox","Tue Jul 15 17:09:07 UTC 2025","passed","Tue Jul 15 17:09:09 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2307","should handle network errors gracefully","chromium","Tue Jul 15 17:14:38 UTC 2025","passed","Tue Jul 15 17:14:40 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","3081","should fail registration with invalid email format","chromium","Tue Jul 15 17:14:10 UTC 2025","passed","Tue Jul 15 17:14:13 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1469","should validate email field type","chromium","Tue Jul 15 17:14:18 UTC 2025","passed","Tue Jul 15 17:14:19 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","1651","should validate email field type","firefox","Tue Jul 15 17:09:26 UTC 2025","passed","Tue Jul 15 17:09:27 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","3269","should handle server errors gracefully","webkit","Tue Jul 15 17:11:51 UTC 2025","passed","Tue Jul 15 17:11:54 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","5907","should login with valid credentials","chromium","Tue Jul 15 17:13:50 UTC 2025","passed","Tue Jul 15 17:13:56 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","3690","should clear sensitive data on logout","firefox","Tue Jul 15 17:09:42 UTC 2025","passed","Tue Jul 15 17:09:46 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","5383","should clear sensitive data on logout","webkit","Tue Jul 15 17:11:42 UTC 2025","passed","Tue Jul 15 17:11:47 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","1588","should validate required fields","chromium","Tue Jul 15 17:14:21 UTC 2025","passed","Tue Jul 15 17:14:23 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","5379","should register new user successfully","webkit","Tue Jul 15 17:11:03 UTC 2025","passed","Tue Jul 15 17:11:09 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1943","should handle server errors gracefully","firefox","Tue Jul 15 17:09:48 UTC 2025","passed","Tue Jul 15 17:09:50 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","6357","should login with valid credentials","firefox","Tue Jul 15 17:08:57 UTC 2025","passed","Tue Jul 15 17:09:04 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2107","should fail registration with existing email","chromium","Tue Jul 15 17:14:07 UTC 2025","passed","Tue Jul 15 17:14:09 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","2231","should fail registration with invalid email format","webkit","Tue Jul 15 17:11:14 UTC 2025","passed","Tue Jul 15 17:11:16 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","2214","should load login page within acceptable time","firefox","Tue Jul 15 17:09:50 UTC 2025","passed","Tue Jul 15 17:09:52 UTC 2025","Login and Registration Tests > Performance","login.spec.js","",""
"","4580","should delete account successfully","firefox","Tue Jul 15 17:09:31 UTC 2025","passed","Tue Jul 15 17:09:35 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","1756","should validate required fields","webkit","Tue Jul 15 17:11:26 UTC 2025","passed","Tue Jul 15 17:11:28 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","1441","should clear login form fields","chromium","Tue Jul 15 17:14:01 UTC 2025","passed","Tue Jul 15 17:14:02 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","4062","should complete registration with all required fields","webkit","Tue Jul 15 17:11:16 UTC 2025","passed","Tue Jul 15 17:11:20 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","2157","should clear login form fields","webkit","Tue Jul 15 17:11:01 UTC 2025","passed","Tue Jul 15 17:11:03 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","4111","should delete account successfully","chromium","Tue Jul 15 17:14:23 UTC 2025","passed","Tue Jul 15 17:14:27 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","1535","should fail login with empty credentials","chromium","Tue Jul 15 17:13:58 UTC 2025","passed","Tue Jul 15 17:13:59 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","1758","should load login page successfully","chromium","Tue Jul 15 17:13:44 UTC 2025","passed","Tue Jul 15 17:13:46 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1752","should validate password field type","firefox","Tue Jul 15 17:09:27 UTC 2025","passed","Tue Jul 15 17:09:29 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","4995","should delete account successfully","webkit","Tue Jul 15 17:11:28 UTC 2025","passed","Tue Jul 15 17:11:33 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","4591","should register new user successfully","firefox","Tue Jul 15 17:09:11 UTC 2025","passed","Tue Jul 15 17:09:15 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1561","should clear signup form fields","chromium","Tue Jul 15 17:14:16 UTC 2025","passed","Tue Jul 15 17:14:18 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1908","should validate password field type","webkit","Tue Jul 15 17:11:24 UTC 2025","passed","Tue Jul 15 17:11:26 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","2229","should fail login with empty credentials","webkit","Tue Jul 15 17:10:57 UTC 2025","passed","Tue Jul 15 17:10:59 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2070","should fail login with invalid email format","webkit","Tue Jul 15 17:10:59 UTC 2025","passed","Tue Jul 15 17:11:01 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","3139","should navigate back to home page","chromium","Tue Jul 15 17:14:29 UTC 2025","passed","Tue Jul 15 17:14:32 UTC 2025","Login and Registration Tests > Navigation","login.spec.js","",""
"","3029","should load login page successfully","firefox","Tue Jul 15 17:08:52 UTC 2025","passed","Tue Jul 15 17:08:55 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1764","should not expose password in URL","firefox","Tue Jul 15 17:09:40 UTC 2025","passed","Tue Jul 15 17:09:42 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","2857","should complete registration with all required fields","firefox","Tue Jul 15 17:09:21 UTC 2025","passed","Tue Jul 15 17:09:24 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1624","should validate required fields","firefox","Tue Jul 15 17:09:29 UTC 2025","passed","Tue Jul 15 17:09:31 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","2379","should logout successfully","firefox","Tue Jul 15 17:09:35 UTC 2025","passed","Tue Jul 15 17:09:38 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","2494","should load login page within acceptable time","webkit","Tue Jul 15 17:11:54 UTC 2025","passed","Tue Jul 15 17:11:57 UTC 2025","Login and Registration Tests > Performance","login.spec.js","",""
"","2079","should fail login with invalid credentials","firefox","Tue Jul 15 17:09:04 UTC 2025","passed","Tue Jul 15 17:09:06 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","3385","should handle network errors gracefully","webkit","Tue Jul 15 17:11:47 UTC 2025","passed","Tue Jul 15 17:11:51 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","1797","should fail registration with empty fields","firefox","Tue Jul 15 17:09:17 UTC 2025","passed","Tue Jul 15 17:09:19 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1881","should display both login and signup forms","firefox","Tue Jul 15 17:08:55 UTC 2025","passed","Tue Jul 15 17:08:57 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","2801","should navigate back to home page","webkit","Tue Jul 15 17:11:36 UTC 2025","passed","Tue Jul 15 17:11:39 UTC 2025","Login and Registration Tests > Navigation","login.spec.js","",""
"","2038","should fail login with invalid credentials","chromium","Tue Jul 15 17:13:56 UTC 2025","passed","Tue Jul 15 17:13:58 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","10048","should load login page successfully","webkit","Tue Jul 15 17:10:21 UTC 2025","passed","Tue Jul 15 17:10:31 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1529","should fail login with invalid email format","chromium","Tue Jul 15 17:13:59 UTC 2025","passed","Tue Jul 15 17:14:01 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","1664","should fail registration with empty fields","chromium","Tue Jul 15 17:14:09 UTC 2025","passed","Tue Jul 15 17:14:10 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1686","should clear signup form fields","firefox","Tue Jul 15 17:09:24 UTC 2025","passed","Tue Jul 15 17:09:26 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","3347","should not expose password in URL","webkit","Tue Jul 15 17:11:39 UTC 2025","passed","Tue Jul 15 17:11:42 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","1796","should clear login form fields","firefox","Tue Jul 15 17:09:09 UTC 2025","passed","Tue Jul 15 17:09:11 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2025","should validate email field type","webkit","Tue Jul 15 17:11:22 UTC 2025","passed","Tue Jul 15 17:11:24 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","1519","should validate password field type","chromium","Tue Jul 15 17:14:19 UTC 2025","passed","Tue Jul 15 17:14:21 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","2901","should logout successfully","webkit","Tue Jul 15 17:11:33 UTC 2025","passed","Tue Jul 15 17:11:36 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","2336","should handle server errors gracefully","chromium","Tue Jul 15 17:14:40 UTC 2025","passed","Tue Jul 15 17:14:42 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","1999","should logout successfully","chromium","Tue Jul 15 17:14:27 UTC 2025","passed","Tue Jul 15 17:14:29 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","2120","should not expose password in URL","chromium","Tue Jul 15 17:14:32 UTC 2025","passed","Tue Jul 15 17:14:34 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
